time,open,high,low,close,EMA,Smoothing Line,%K,%D
2022-03-16T04:00:00+01:00,13457.2,13479.1,13443.2,13456.7,13306.955213363904,13294.483125162908,91.80204948762828,91.68277176760505
2022-03-16T05:00:00+01:00,13457.2,13474,13451.9,13468.1,13313.274616761399,13300.726924176128,93.46564885496194,92.54759571400722
2022-03-16T06:00:00+01:00,13468.1,13598.9,13462,13562,13323.02855335899,13307.711750679024,89.04068904068912,91.43612912775977
2022-03-16T07:00:00+01:00,13562.5,13599.6,13550.4,13598.3,13333.823512050794,13315.585015358276,99.61470065204473,94.04034618256526
2022-03-16T08:00:00+01:00,13598.4,13629.7,13581.2,13621.7,13345.112786088019,13324.43893632462,97.82312925170068,95.49283964814482
2022-03-16T09:00:00+01:00,13622.4,13682.1,13604.7,13666.5,13357.71620624143,13334.591134900125,96.28482972136214,97.90755320836917
2022-03-16T10:00:00+01:00,13666.5,13706.1,13661.9,13676.9,13370.233217761373,13345.982855100117,91.35839005622942,95.15544967643075
2022-03-16T11:00:00+01:00,13677.5,13723.1,13670.9,13699.5,13383.14564059426,13358.006272547174,92.18801721284332,93.27707899681162
2022-03-16T12:00:00+01:00,13699.3,13709.3,13667.7,13704.9,13395.763458610172,13370.394261859048,93.97550479973495,92.50730402293588
2022-03-16T13:00:00+01:00,13704.9,13718.8,13644.8,13651.5,13405.792342586245,13382.530173158691,76.29923866269438,87.48758689175754
2022-03-16T14:00:00+01:00,13649.9,13749.9,13614.8,13722.8,13418.224015426,13394.631734995608,91.76041349954382,87.34505232065771
2022-03-16T15:00:00+01:00,13722.9,13869.3,13693.8,13833.7,13434.517191291647,13407.488529701663,92.00179734891066,86.68714983704962
2022-03-16T16:00:00+01:00,13833.6,13845,13791.8,13817.7,13449.543968103739,13420.768195203558,87.89016662755252,90.55079249200232
2022-03-16T17:00:00+01:00,13817.6,13833.5,13712.9,13728.3,13460.475577197709,13433.710618921064,66.90917624970653,82.26704674205656
2022-03-16T18:00:00+01:00,13728.3,13757.5,13665.4,13747.3,13471.723593778192,13446.896869159453,70.77144226161953,75.19026171295953
2022-03-16T19:00:00+01:00,13744.3,13787.7,13465.5,13736.3,13482.099139120222,13459.6718938983,67.34593665602743,68.3421850557845
2022-03-16T20:00:00+01:00,13737.3,13959.8,13703.6,13957.9,13500.757996409626,13472.920054921895,99.61561804572129,79.24433232112274
2022-03-16T21:00:00+01:00,13957.8,14029.5,13939.7,14000.2,13520.343957334739,13487.080052768095,94.80496453900722,87.25550641358531
2022-03-16T23:00:00+01:00,13988.8,13990.6,13957.6,13964.2,13537.750076654946,13502.534952659542,88.42198581560297,94.28085613344382
2022-03-17T00:00:00+01:00,13964.3,13987.1,13950.5,13982.4,13555.18732855083,13519.227699614068,91.6489361702127,91.62529550827429
2022-03-17T01:00:00+01:00,13982.2,13997.9,13961.6,13993.9,13572.391747039033,13537.286221197832,93.68794326241128,91.2529550827423
2022-03-17T02:00:00+01:00,13993.9,13997.1,13904.3,13922.9,13586.137168723777,13554.362055660662,81.09929078014179,88.81205673758859
2022-03-17T03:00:00+01:00,13922.7,13958.7,13918.1,13946.7,13600.276887597354,13570.348641713184,85.31914893617034,86.70212765957446
2022-03-17T04:00:00+01:00,13946.7,13951,13919.2,13942.7,13613.705244946477,13585.539675371492,84.60992907801432,83.67612293144215
2022-03-17T05:00:00+01:00,13943.1,13978.7,13923.6,13970.4,13627.693274556419,13600.04086457261,89.52127659574461,86.48345153664309
2022-03-17T06:00:00+01:00,13970.6,13989.8,13955.4,13962,13640.803342220874,13613.723183608978,88.03191489361703,87.38770685579198
2022-03-17T07:00:00+01:00,13961.9,14009.9,13955.5,14003.2,13655.01497585927,13627.498745036079,95.33687943262424,90.96335697399529
2022-03-17T08:00:00+01:00,14002.6,14025.6,13929.3,13973.7,13667.512427786358,13640.945853073878,90.10638297872353,91.15839243498827
2022-03-17T09:00:00+01:00,13973.7,13980.4,13918.9,13933.2,13677.931548265324,13653.791113737647,82.92553191489375,89.45626477541384
2022-03-17T10:00:00+01:00,13933.2,13943.6,13896.4,13928.2,13687.745997352959,13665.801658296954,68.91684565817755,80.64958685059828
2022-03-17T11:00:00+01:00,13928.1,13930.6,13839.7,13919.2,13696.822624907745,13677.005514834329,41.8861959957852,64.57619118961884
2022-03-17T12:00:00+01:00,13917.3,13933.8,13871.7,13896.9,13704.668796479991,13686.936278958476,30.76923076923024,47.190757474397664
2022-03-17T13:00:00+01:00,13896.8,13930.2,13834.9,13857.4,13710.65825544156,13695.565444489515,11.798636601992614,28.151354455669352
2022-03-17T14:00:00+01:00,13857.3,13985.1,13820.9,13981.2,13721.267735620322,13704.232681960517,78.30972154372277,40.29252963831521
2022-03-17T15:00:00+01:00,13981.3,14015.6,13851,13880,13727.492530301879,13712.181988550301,28.871519296531584,39.659959147415655
2022-03-17T16:00:00+01:00,13880,13956.7,13844.2,13925.1,13735.241842839061,13719.865832136562,50.90376160234507,52.69500081419981
2022-03-17T17:00:00+01:00,13925.4,13995.2,13905.9,13984.3,13745.008829394392,13727.933838719444,79.82413287738107,53.19980459208591
2022-03-17T18:00:00+01:00,13984.3,14095.8,13944.9,14072,13757.832012555396,13737.36859014221,91.34230629319778,74.02340025764131
2022-03-17T19:00:00+01:00,14072.1,14085.1,14016.9,14062.2,13769.768012063028,13747.068645430752,87.77737359039702,86.31460425365863
2022-03-17T20:00:00+01:00,14062.2,14115.8,14008.7,14112.8,13783.220246884086,13758.214188747195,98.98270600203459,92.7007952952098
2022-03-17T21:00:00+01:00,14113,14135.7,14042.9,14054.5,13793.858668574907,13769.937553894362,74.20584498094014,86.98864152445725
2022-03-17T23:00:00+01:00,14063,14076.5,14020.5,14030.3,13803.130877650401,13781.561963545566,66.51842439644184,79.9023251264722
2022-03-18T00:00:00+01:00,14030.2,14041.2,14019.6,14027.2,13811.917902056268,13792.379141445741,65.53367217280825,68.75264718339675
2022-03-18T01:00:00+01:00,14027.4,14053.9,13982.6,13990.3,13818.913278446218,13802.208194722378,53.81194409148635,61.954680220245486
2022-03-18T02:00:00+01:00,13990.3,13999.6,13969.2,13997.3,13825.908836154209,13810.745912576403,56.03557814485357,58.460398136382736
2022-03-18T03:00:00+01:00,13997.4,14002.8,13978.8,13991.5,13832.402607285416,13818.454700318505,54.19313850063525,54.680220245658404
2022-03-18T04:00:00+01:00,13991.5,14001.4,13975.7,13997.8,13838.888779548734,13825.60628069817,56.19440914866551,55.47437526471813
2022-03-18T05:00:00+01:00,13997.8,13999,13982.4,13994.2,13844.979415644862,13832.218583415892,51.45797598627787,53.94850787852622
2022-03-18T06:00:00+01:00,13993,14008.6,13982.3,14000.7,13851.086105227418,13838.653148772131,53.687821612349914,53.780068915764446
2022-03-18T07:00:00+01:00,14002,14065.8,13998.1,14028.5,13858.043512865559,13845.0800841144,53.35073977371618,52.83217912411467
2022-03-18T08:00:00+01:00,14028.6,14046.9,13996.6,14046.8,13865.445728047302,13851.688708266776,53.40670859538734,53.481756660484486
2022-03-18T09:00:00+01:00,14048.4,14056.4,14003.5,14032.4,13871.992954398387,13858.309543236708,37.957957957957305,48.238468775686954
2022-03-18T10:00:00+01:00,14032.1,14041.8,14000.1,14027.6,13878.095191480803,13864.932698403898,35.07507507507486,42.146580542806504
2022-03-18T11:00:00+01:00,14027.5,14043.5,13997.3,14013.2,13883.393419265869,13871.394161211589,26.426426426426428,33.153153153152864
2022-03-18T12:00:00+01:00,14011.6,14018.3,13979.5,13993.7,13887.719167529953,13877.329292144466,22.833178005591954,28.11155983569775
2022-03-18T13:00:00+01:00,13993.9,14032.2,13981.3,14006.7,13892.385082528777,13882.717163040763,38.8198757763981,29.35982673613883
2022-03-18T14:00:00+01:00,14006.7,14155,13993.3,14153.3,13902.617040076668,13888.841980176416,99.08503767491888,53.57936381896965
2022-03-18T15:00:00+01:00,14153.2,14248.2,14141.3,14209.2,13914.639901250132,13896.15092213028,86.02150537634408,74.64213960922035
2022-03-18T16:00:00+01:00,14209.3,14281.3,14201.5,14244.6,13927.579512965813,13904.988140870273,87.99083769633538,91.03246024919945
2022-03-18T17:00:00+01:00,14243.8,14314.6,14226.4,14299.6,13942.168551673036,13915.878017698886,95.57391560932427,89.86208622733459
2022-03-18T18:00:00+01:00,14299.8,14327.8,14284.5,14311,13956.6325300388,13928.727507200892,95.17657192075816,92.9137750754726
2022-03-18T19:00:00+01:00,14309.9,14341.2,14286.5,14337.7,13971.576352390219,13942.519369663603,99.03234724910146,96.59427825972796
2022-03-18T20:00:00+01:00,14337.4,14427.4,14326.1,14408.4,13988.70669151217,13957.33272771601,95.75798169234204,96.6556336207339
2022-03-18T21:00:00+01:00,14410,14443.8,14398.2,14436.1,14006.251527139144,13973.067130550678,98.3415894895544,97.71063947699929
2022-03-20T23:00:00+01:00,14419.4,14437.1,14404.1,14418.7,14022.425977055256,13989.11861562712,94.59401249192364,96.23119455794001
2022-03-21T00:00:00+01:00,14418.8,14419.6,14403.5,14406.6,14037.491625013874,14005.290434622137,91.98793883265152,94.97451360470984
2022-03-21T01:00:00+01:00,14406.7,14408.8,14373.9,14393.7,14051.460580895682,14021.267280323227,89.2095627826839,91.93050470241968
2022-03-21T02:00:00+01:00,14393.8,14396.8,14350.4,14350.8,14063.19938164487,14036.165818349768,79.96984708162823,87.05578289898789
